Time since System Start [us];Week time [milliseconds since start of GPS week];Humidity [%];Groundspeed [m/s];Airspeed [m/s];Temperature [deg C];Airpressure [kPas];Longitude;Latitude;Flight Height [m];Roll [deg];Pitch [deg];Yaw [deg];Ground course [deg];Energie [m];GyroX [rad/s];GyroY [rad/s];GyroZ [rad/s];AcceX [m/s/s];AcceY [m/s/s];AcceZ [m/s/s]
151447726;254866400;20;0;0.0220617;32.06;96095.67;8.257222;47.3425159;0;-8.49;3.83;91.68;218.3623;2.48072684449541e-05;0.002107254;0.0048317;0.002473928;0.6575201;1.437574;-9.710675
151647645;254866600;20;0.001;0.0220617;32.06;96094.09;8.257222;47.3425159;0;-8.49;3.83;91.68;85.16265;2.48072684449541e-05;0.002020896;0.0036609;0.002315115;0.6344445;1.474433;-9.687276
151847353;254866800;20;0.001;0.0220617;32.07;96097.22;8.257222;47.3425159;0;-8.49;3.83;91.68;76.50999;2.48072684449541e-05;0.001987417;0.002464668;0.001945424;0.6887925;1.456412;-9.734626
152048084;254867000;20;0;0.0220617;32.06;96093.81;8.257222;47.3425159;0;-8.49;3.83;91.68;239.6272;2.48072684449541e-05;0.001904206;0.003984356;0.002279997;0.6298811;1.448198;-9.678122
152247428;254867200;20;0.002;0.0220617;32.06;96093.99;8.257222;47.3425159;0;-8.49;3.83;91.68;253.9038;2.48072684449541e-05;0.002100398;0.003946235;0.002394609;0.6245596;1.457876;-9.705688
152448032;254867400;20;0.002;0.0220617;32.07;96096.19;8.257222;47.3425159;0;-8.49;3.83;91.68;265.2787;2.48072684449541e-05;0.001943985;0.005011105;0.00221925;0.5578138;1.455381;-9.715424
152648041;254867600;20;0;0.0220617;32.07;96097.4;8.257222;47.3425159;0;-8.49;3.83;91.68;278.4115;2.48072684449541e-05;0.002254727;0.004498784;0.00237858;0.6768728;1.44238;-9.656571
152847666;254867800;20;0;0.0220617;32.07;96097.49;8.257222;47.3425159;0;-8.49;3.83;91.68;299.2439;2.48072684449541e-05;0.002170953;0.005161318;0.002650235;0.6287518;1.437017;-9.722847
153047928;254868000;20;0.001;0.0220617;32.07;96097.43;8.257222;47.3425159;0;-8.49;3.83;91.68;256.9902;2.48072684449541e-05;0.001947831;0.004443003;0.002852849;0.5903488;1.449901;-9.693712
153247338;254868200;20;0.001;0.0220617;32.07;96093.6;8.257222;47.3425159;0;-8.49;3.83;91.68;216.6604;2.48072684449541e-05;0.001998375;0.003298243;0.002442132;0.6582891;1.441418;-9.707182
153447645;254868400;20;0.001;0.0220617;32.07;96093.76;8.257222;47.3425159;0;-8.49;3.83;91.68;213.7661;2.48072684449541e-05;0.002060054;0.003693154;0.002262142;0.6435746;1.438262;-9.689995
153648075;254868600;20;0;0.0220617;32.07;96094.97;8.257222;47.3425159;0;-8.49;3.83;91.68;80.69374;2.48072684449541e-05;0.001988284;0.004167343;0.002708831;0.6760873;1.473056;-9.699034
153847751;254868800;20;0;0.0220617;32.07;96094.73;8.257222;47.3425159;0;-8.49;3.83;91.68;221.7221;2.48072684449541e-05;0.002236388;0.004767795;0.002444956;0.6578079;1.423396;-9.655829
154047380;254869000;20;0.002;0.0220617;32.07;96095.97;8.257222;47.3425159;0;-8.49;3.83;91.68;245.6361;2.48072684449541e-05;0.002125962;0.003926535;0.002344102;0.6471579;1.455069;-9.685496
154248238;254869200;20;0;0.0220617;32.07;96094.36;8.257222;47.3425159;0;-8.49;3.83;91.68;182.02;2.48072684449541e-05;0.002258821;0.004195762;0.00233383;0.6196837;1.450911;-9.690011
154447692;254869400;20;0;0.0220617;32.07;96097.13;8.257222;47.3425159;0;-8.49;3.83;91.68;331.7065;2.48072684449541e-05;0.001927334;0.00416251;0.002595074;0.6073182;1.479122;-9.686919
154647716;254869600;20;0.001;0.0220617;32.07;96095.97;8.257222;47.3425159;0;-8.49;3.83;91.68;216.3626;2.48072684449541e-05;0.00178677;0.00395325;0.00237614;0.7459889;1.472727;-9.702608
154847735;254869800;20;0.001;0.0220617;32.07;96093.17;8.257222;47.3425159;0;-8.49;3.83;91.68;123.9882;2.48072684449541e-05;0.001942795;0.003898319;0.002387484;0.6962609;1.417614;-9.699436
155047351;254870000;20;0;0.0220617;32.07;96093.76;8.257222;47.3425159;0;-8.49;3.83;91.69;309.9498;2.48072684449541e-05;0.002028983;0.003733443;0.002266081;0.6646588;1.447383;-9.695448
155247347;254870200;20;0;0.0220617;32.07;96095.21;8.257222;47.3425159;0;-8.49;3.83;91.69;336.3809;2.48072684449541e-05;0.002022411;0.003932925;0.002578381;0.6410799;1.433999;-9.690077
155447496;254870400;20;0;0.0220617;32.07;96097.43;8.257222;47.3425159;0;-8.49;3.83;91.69;8.92398;2.48072684449541e-05;0.002154763;0.004828626;0.002619429;0.5935379;1.436388;-9.695802
155648131;254870600;20;0;0.0220617;32.07;96096.79;8.257222;47.3425159;0;-8.49;3.83;91.69;212.8371;2.48072684449541e-05;0.001994872;0.003849848;0.002392267;0.6231095;1.445748;-9.703985
155848267;254870800;20;0.001;0.0220617;32.07;96096.15;8.257222;47.3425159;0;-8.49;3.83;91.69;206.3777;2.48072684449541e-05;0.002070492;0.006528559;0.002551853;0.663653;1.46054;-9.745698
156047387;254871000;20;0;0.0220617;32.07;96093.76;8.257222;47.3425159;0;-8.49;3.83;91.69;165.8778;2.48072684449541e-05;0.001847617;0.004469009;0.002276241;0.7616072;1.428606;-9.70516
156248077;254871200;20;0.002;0.0220617;32.07;96097;8.257222;47.3425159;0;-8.49;3.83;91.69;84.83279;2.48072684449541e-05;0.002057338;0.005459623;0.002323799;0.6993101;1.411333;-9.711926
