Time since System Start [us];Week time [milliseconds since start of GPS week];Humidity [%];Groundspeed [m/s];Airspeed [m/s];Temperature [deg C];Airpressure [kPas];Longitude;Latitude;Flight Height [m];Roll [deg];Pitch [deg];Yaw [deg];Ground course [deg];Energie [m];GyroX [rad/s];GyroY [rad/s];GyroZ [rad/s];AcceX [m/s/s];AcceY [m/s/s];AcceZ [m/s/s]
23229387;253978200;20;0;0.0220617;28.83;96097.43;8.257222;47.3425159;0;-8.49;3.89;91.39;87.39772;2.48072684449541e-05;0.0001724084;0.00114497;0.0003867092;0.6252113;1.446702;-9.737245
23429314;253978400;20;0.001;0.0220617;28.85;96094.63;8.257222;47.3425159;0;-8.49;3.89;91.39;282.6938;2.48072684449541e-05;3.547895e-05;0.0009116485;0.0003548572;0.6541454;1.437929;-9.719079
23629397;253978600;20;0;0.0220617;28.87;96095.97;8.257222;47.3425159;0;-8.49;3.89;91.39;83.25962;2.48072684449541e-05;0.0003285133;0.002091716;0.0005450448;0.634931;1.441308;-9.682859
23829100;253978800;20;0.001;0.0220617;28.89;96096.37;8.257222;47.3425159;0;-8.49;3.89;91.39;90.36563;2.48072684449541e-05;0.0003228161;0.003672328;0.001063079;0.7267524;1.431364;-9.811726
24029192;253979000;20;0.001;0.0220617;28.91;96093.23;8.257222;47.3425159;0;-8.49;3.89;91.39;100.3574;2.48072684449541e-05;0.0003838501;0.001819431;0.0007195456;0.6487016;1.452634;-9.698187
24229541;253979200;20;0;0.0220617;28.94;96093.6;8.257222;47.3425159;0;-8.49;3.89;91.39;160.3473;2.48072684449541e-05;0.0002836717;0.002691417;0.0004390976;0.6992253;1.470013;-9.750569
24429303;253979400;20;0;0.0220617;28.96;96097.28;8.257222;47.3425159;0;-8.49;3.89;91.39;11.20741;2.48072684449541e-05;8.998944e-05;0.002031684;0.0004068147;0.7324834;1.443452;-9.76086
24629747;253979600;20;0.001;0.0220617;28.98;96096.64;8.257222;47.3425159;0;-8.49;3.89;91.39;89.68102;2.48072684449541e-05;0.0005994106;0.001914804;0.0005796255;0.6311111;1.457424;-9.699291
24829417;253979800;20;0;0.0220617;29;96095.97;8.257222;47.3425159;0;-8.49;3.89;91.4;309.5583;2.48072684449541e-05;0.0003092231;0.003284948;0.0004814716;0.703167;1.461399;-9.731739
25029523;253980000;20;0.001;0.0220617;29.02;96096.43;8.257222;47.3425159;0;-8.49;3.89;91.4;297.5623;2.48072684449541e-05;0.0003742802;0.002294475;0.0006013938;0.6677168;1.440917;-9.691697
25229078;253980200;20;0.071;0.0220617;29.04;96096.73;8.257222;47.3425159;0;-8.52;3.24;91.51;89.07954;2.48072684449541e-05;-0.009454305;-0.1796133;-0.00367672;2.256498;1.40274;-9.61655
25429173;253980400;20;0.445;0.0220617;29.06;96096.67;8.2572226;47.3425159;0;-8.74;-1.58;91.88;90.40578;2.48072684449541e-05;-0.0286779;-0.5899822;-0.04921855;3.128095;1.489151;-10.03469
25629509;253980600;20;1.16;0.0220617;29.08;96095.48;8.2572247;47.3425159;0;-9.17;-11.57;92.39;90.93217;2.48072684449541e-05;-0.03891808;-1.050101;-0.1265554;2.162079;1.56798;-9.974529
25829383;253980800;20;1.764;0.0220617;29.1;96095.18;8.2572288;47.3425159;0;-10.05;-20.06;92.6;91.28733;2.48072684449541e-05;-0.002799073;0.06458038;-0.04199836;-3.182881;1.412729;-6.875802
26029672;253981000;20;2.168;0.0220617;29.12;96094.3;8.2572342;47.3425158;-0.0299999999999727;-9.28;-15.03;91.32;91.0817;-0.0299751927315278;-0.05121625;0.3045171;-0.01606041;1.200737;1.265733;-10.19565
26229416;253981200;20;2.735;2.825018;29.14;96097.83;8.2572404;47.3425158;-0.0600000000000023;-9.12;-13.63;90.24;90.36425;0.346764867498673;-0.01348162;0.0665288;-0.09761393;1.577933;1.323058;-10.20562
26429272;253981400;20;3.585;3.995118;29.16;96097.88;8.2572486;47.3425158;-0.089999999999975;-8.75;-13.7;88.91;89.42501;0.723504986438557;0.03023378;-0.02424499;-0.1181639;3.318326;1.222649;-10.60261
26629504;253981600;20;4.697;4.892975;29.18;96099.16;8.2572595;47.3425158;-0.129999999999995;-7.97;-14.17;87.77;88.3758;1.09024487006244;0.04923638;0.01002262;-0.08422323;4.357705;1.061998;-10.76475
26829466;253981800;20;6.007;6.316779;29.2;96097.77;8.2572736;47.3425162;-0.170000000000016;-6.91;-12.67;86.95;87.59382;1.86372563378393;0.06938718;0.2516866;-0.005304914;4.771697;1.140475;-10.84216
